amplitude_exp amplitude_sim mean_exp mean_sim sigma_exp sigma_sim
92.1129 46.3964 95.7824 96.1442 0.952332 0.486178
124.121 44.4419 95.8008 96.168 1.17415 0.457524
71.0541 50.3099 96.0763 96.1719 0.673183 0.617239
81.4632 46.1598 95.7643 96.1179 0.981628 0.54756
161.999 45.6348 95.9116 96.1993 1.70632 0.42066
50.3595 48.06 95.9635 96.187 0.561188 0.411189
97.8316 51.321 95.8623 96.1376 1.00957 0.401734
187.61 49.6468 95.8428 96.1567 1.68104 0.571044
104.565 42.8088 95.8297 96.1348 1.22135 0.529846
85.1653 45.3118 95.7426 96.1891 0.926064 0.406522
73.0386 48.1134 95.7996 96.1846 0.827611 0.463004
76.7985 51.3229 95.8264 96.1426 1.02616 0.488807
67.0735 43.7272 95.9255 96.1395 0.773285 0.514488
62.6233 50.0972 95.8603 96.1528 0.691014 0.364164
101.027 47.3605 95.7273 96.0846 0.875402 0.568713
100.44 41.3098 95.714 96.1689 0.911288 0.490725
76.3472 47.0477 95.781 96.145 0.731179 0.533239
71.7476 44.3326 95.9173 96.1309 0.794195 0.614542
63.5918 51.5764 95.9219 95.9871 0.736569 0.876615
49.9401 46.1002 95.982 96.1513 0.624769 0.443295
65.206 46.0074 95.8759 96.1594 0.692391 0.506887
95.8882 46.1045 95.731 96.1109 0.721552 0.601777
111.377 41.7834 95.6886 96.2018 0.847902 0.410417
97.3819 45.3917 95.7072 96.1756 0.585358 0.478926
88.1815 40.0795 95.6618 96.1995 0.520337 0.488003
96.4893 44.316 95.6855 96.1638 0.653538 0.497386
91.4741 47.5224 95.679 96.1319 0.670558 0.590866
90.566 41.8301 95.6803 96.1776 0.64012 0.535262
97.3406 40.7662 95.6499 96.1933 0.696571 0.474353
107.707 46.5566 95.6303 96.1803 0.653391 0.471614
113.544 41.9777 95.5716 96.1662 0.577922 0.623752
111.432 46.3043 95.5608 96.1193 0.693315 0.569568
95.6808 43.9932 95.6147 96.1582 0.489755 0.490539
93.4061 41.9996 95.6433 96.1785 0.505263 0.369528
93.3116 45.4785 95.6566 96.133 0.692344 0.616973
102.389 46.1839 95.6379 96.1567 0.715393 0.572227
103.648 49.6496 95.6283 96.1534 0.687189 0.478508
106.656 44.4648 95.7012 96.1552 0.677603 0.583686
99.4074 48.91 95.7329 96.1921 0.7622 0.537843
98.3098 50.1791 95.6958 96.1478 0.835056 0.723432
98.6495 42.3045 95.6957 96.064 0.923375 0.640016
90.5083 45.1446 95.7232 96.1794 0.792627 0.458038
85.7779 47.5961 95.6432 96.1799 0.759261 0.487179
96.3509 43.0128 95.6845 96.1018 0.942647 0.595379
